Actual,RNN_Prediction,LSTM_Prediction,RNN_Residual,LSTM_Residual
68154.5234375,63145.707,59963.98,5008.81640625,8190.54296875
67585.25,63878.203,60707.656,3707.046875,6877.59375
65927.671875,63656.93,61196.152,2270.7421875,4731.51953125
65372.1328125,62817.043,61114.23,2555.08984375,4257.90234375
65777.2265625,61952.22,60648.34,3825.0078125,5128.88671875
67912.0625,61510.387,60178.72,6401.67578125,7733.34375
67813.3359375,62680.848,60239.41,5132.48828125,7573.92578125
68255.8671875,64032.293,60545.664,4223.57421875,7710.203125
66819.9140625,64292.797,60984.17,2527.1171875,5835.7421875
66201.015625,63625.12,61100.105,2575.89453125,5100.91015625
64619.24999999999,62492.734,60893.926,2126.5156249999927,3725.3242187499927
65357.5,61355.49,60263.97,4002.01171875,5093.53125
61415.06640624999,61185.27,59709.406,229.79687499999272,1705.6601562499927
60680.09375,59968.992,58568.88,711.1015625,2111.21484375
58116.9765625,58624.848,57244.16,-507.87109375,872.81640625
53991.45703125,56540.344,55650.766,-2548.88671875,-1659.30859375
56034.31640625,53203.305,53528.46,2831.01171875,2505.85546875
55027.46093749999,52795.785,51966.953,2231.6757812499927,3060.5078124999927
61710.13671874999,53164.996,50865.97,8545.140624999993,10844.167968749993
60880.11328125,57018.49,51489.438,3861.625,9390.67578125
60945.81250000001,59085.95,52749.21,1859.8632812500073,8196.601562500007
58719.484375,58478.895,54010.426,240.58984375,4709.05859375
59354.515625,57359.566,54536.133,1994.94921875,4818.3828125
60609.56640624999,56302.324,54676.594,4307.242187499993,5932.972656249993
58737.26953125,57600.184,54844.973,1137.0859375,3892.296875
57560.09765625,57051.11,54652.37,508.98828125,2907.7265625
58894.10546875001,56174.34,54097.523,2719.7656250000073,4796.582031250007
59478.97265625,56427.457,53741.96,3051.515625,5737.01171875
58483.96484375,56947.26,53692.12,1536.703125,4791.84375
59493.45312500001,56349.773,53621.637,3143.6796875000073,5871.816406250007
59012.79296875,56067.68,53739.234,2945.11328125,5273.55859375
61175.19140625,56862.63,53833.125,4312.5625,7342.06640625
60381.9140625,58274.9,54301.562,2107.015625,6080.3515625
64094.35546875,58521.88,54708.363,5572.4765625,9385.9921875
64178.9921875,59467.66,55696.188,4711.33203125,8482.8046875
64333.54296875001,60833.957,56782.793,3499.5859375000073,7550.750000000007
62880.66015625,61217.246,57695.414,1663.4140625,5185.24609375
59504.1328125,60507.3,58024.41,-1003.16796875,1479.72265625
59027.62499999999,58541.883,57326.656,485.7421874999927,1700.9687499999927
59388.1796875,56858.086,56176.273,2530.09375,3211.90625
59119.47656250001,56342.293,55146.508,2777.1835937500073,3972.9687500000073
58969.8984375,56347.92,54378.434,2621.9765625,4591.46484375
57325.48828125,56764.07,53891.277,561.41796875,3434.2109375
59112.48046875,56225.52,53337.28,2886.9609375,5775.19921875
57431.0234375,56205.996,53200.992,1225.02734375,4230.03125
57971.5390625,55957.9,52989.89,2013.640625,4981.6484375
56160.48828124999,55392.598,52880.242,767.8906249999927,3280.2460937499927
53948.75390625,54957.746,52502.453,-1008.9921875,1446.30078125
54139.68749999999,53276.805,51649.387,862.8828124999927,2490.3007812499927
54841.56640625,52899.63,50782.332,1941.9375,4059.234375
57019.53515625,52836.742,50247.76,4182.79296875,6771.7734375
57648.7109375,54433.566,50422.348,3215.14453125,7226.36328125
57343.171875,55532.773,51042.18,1810.3984375,6300.9921875
58127.01171875,55742.066,51680.414,2384.9453125,6446.59765625
60571.30078125001,55992.188,52318.215,4579.113281250007,8253.085937500007
60005.12109375,57027.21,53275.0,2977.91015625,6730.12109375
59182.8359375,57759.113,54079.195,1423.72265625,5103.640625
58192.50781250001,56917.516,54461.78,1274.9921875000073,3730.7265625000073
60308.5390625,56553.785,54351.625,3754.75390625,5956.9140625
61649.6796875,57209.773,54424.62,4439.90625,7225.05859375
62940.45703125,58664.816,54849.26,4275.640625,8091.1953125
63192.97656250001,59333.92,55611.582,3859.0546875000073,7581.394531250007
63394.83984375,59969.914,56419.023,3424.92578125,6975.81640625
63648.7109375,60441.668,57095.5,3207.04296875,6553.2109375
63329.80078125,60536.477,57594.707,2793.32421875,5735.09375
64301.96875000001,60091.703,57828.812,4210.265625000007,6473.156250000007
63143.14453125001,60503.17,58064.46,2639.9726562500073,5078.683593750007
65181.01953125,60345.88,58031.164,4835.140625,7149.85546875
65790.6640625,61279.92,58260.94,4510.7421875,7529.72265625
65887.6484375,61888.59,58699.207,3999.05859375,7188.44140625
65635.3046875,62393.508,59161.82,3241.796875,6473.484375
63329.5,62056.816,59475.92,1272.68359375,3853.578125
60837.00781250001,60721.355,59190.367,115.65234375000728,1646.6406250000073
60632.78515625,59060.754,58177.773,1572.03125,2455.01171875
60759.40234375,58077.715,56991.12,2681.6875,3768.28125
62067.47656250001,58007.37,56026.312,4060.1054687500073,6041.164062500007
62089.94921875,58712.883,55654.81,3377.06640625,6435.140625
62818.953125,59303.492,55676.633,3515.4609375,7142.3203125
62236.66015625,59750.48,56022.53,2486.1796875,6214.12890625
62131.96875,59827.652,56332.543,2304.31640625,5799.42578125
60582.1015625,59168.375,56522.406,1413.7265625,4059.6953125
60274.49999999999,58375.074,56307.316,1899.4257812499927,3967.1835937499927
62445.08984375,57665.297,55875.035,4779.79296875,6570.0546875
63193.0234375,59187.195,55854.977,4005.828125,7338.046875
62851.37499999999,60250.42,56208.387,2600.9531249999927,6642.988281249993
66046.125,60357.543,56606.312,5688.58203125,9439.8125
67041.109375,61391.254,57543.023,5649.85546875,9498.0859375
67612.71875,63062.152,58739.387,4550.56640625,8873.33203125
67399.8359375,64004.387,59901.633,3395.44921875,7498.203125
68418.7890625,63649.91,60732.707,4768.87890625,7686.08203125
68362.734375,63922.01,61400.09,4440.72265625,6962.64453125
69001.703125,64368.793,61827.684,4632.91015625,7174.01953125
67367.8515625,64588.895,62165.168,2778.95703125,5202.68359375
67361.40625,63790.37,62066.37,3571.03515625,5295.03515625
66432.1953125,63414.734,61764.875,3017.4609375,4667.3203125
68161.0546875,62981.418,61253.312,5179.63671875,6907.7421875
66642.4140625,63228.926,61091.285,3413.48828125,5551.12890625
67014.6953125,63091.875,60856.316,3922.8203125,6158.37890625
67929.296875,63041.7,60702.004,4887.59765625,7227.29296875
69907.7578125,63640.59,60799.273,6267.16796875,9108.484375
72720.4921875,64846.895,61388.55,7873.59765625,11331.94140625
72339.5390625,66965.89,62645.82,5373.6484375,9693.71875
70215.1875,67819.23,63880.406,2395.9609375,6334.78125
69482.46875,66491.0,64386.336,2991.46875,5096.1328125
69289.2734375,65328.605,64248.035,3960.66796875,5041.23828125
68741.1171875,64683.176,63783.285,4057.94140625,4957.83203125
67811.5078125,64506.746,63167.848,3304.76171875,4643.66015625
69359.5625,63877.945,62446.14,5481.6171875,6913.421875
75639.078125,64644.137,62141.63,10994.94140625,13497.44921875
75904.859375,68338.94,63356.04,7565.921875,12548.8203125
76545.4765625,70478.664,65133.344,6066.8125,11412.1328125
76778.8671875,70369.14,66892.37,6409.7265625,9886.5
80474.1875,70298.23,68260.05,10175.9609375,12214.140625
88701.484375,72353.13,69840.43,16348.3515625,18861.0546875
87955.8125,77545.125,72830.086,10410.6875,15125.7265625
90584.1640625,79166.87,75720.62,11417.296875,14863.546875
87250.4296875,79981.32,78398.08,7269.109375,8852.3515625
91066.0078125,78813.11,79646.89,12252.8984375,11419.1171875
90558.4765625,79212.266,80642.555,11346.2109375,9915.921875
89845.8515625,79674.4,81190.914,10171.453125,8654.9375
90542.640625,78818.25,81246.06,11724.390625,9296.578125
92343.7890625,79266.375,81181.71,13077.4140625,11162.078125
94339.4921875,80414.586,81442.95,13924.90625,12896.5390625
98504.7265625,81863.24,82217.56,16641.484375,16287.1640625
98997.6640625,83640.77,83920.22,15356.890625,15077.4453125
97777.28125,84616.25,85784.984,13161.03125,11992.296875
98013.8203125,84551.8,87014.62,13462.0234375,10999.203125
93102.296875,84161.945,87663.516,8940.3515625,5438.78125
91985.3203125,81946.555,86875.18,10038.765625,5110.140625
95962.53125,79800.12,85353.484,16162.4140625,10609.046875
95652.46875,81228.164,84612.26,14424.3046875,11040.2109375
97461.5234375,82704.875,84389.555,14756.6484375,13071.96875
96449.0546875,84142.85,84840.734,12306.203125,11608.3203125
97279.7890625,83757.336,85322.42,13522.453125,11957.3671875
95865.3046875,83394.29,85855.03,12471.015625,10010.2734375
96002.1640625,83033.78,86001.586,12968.3828125,10000.578125
98768.53125,81955.23,85940.26,16813.3046875,12828.2734375
96593.5703125,83972.47,86337.01,12621.1015625,10256.5625
99920.7109375,84267.91,86458.67,15652.8046875,13462.0390625
99923.3359375,85110.71,87066.89,14812.625,12856.4453125
101236.015625,85500.76,87801.2,15735.2578125,13434.8125
97432.71875,85702.23,88685.46,11730.4921875,8747.2578125
96675.4296875,84763.96,88655.62,11911.46875,8019.8125
101173.03125,82653.56,88035.72,18519.46875,13137.3125
100043.0,85015.7,88148.35,15027.296875,11894.6484375
101459.2578125,85832.58,88403.3,15626.6796875,13055.9609375
101372.96875,86132.586,88954.125,15240.3828125,12418.84375
104298.6953125,85744.516,89505.98,18554.1796875,14792.71875
106029.71874999999,87473.88,90512.93,18555.835937499985,15516.789062499985
106140.6015625,89123.83,91880.98,17016.7734375,14259.625
100041.5390625,88599.984,93122.33,11441.5546875,6919.2109375
97490.953125,86092.69,92741.836,11398.265625,4749.1171875
97755.9296875,83462.51,91166.55,14293.421875,6589.3828125
97224.7265625,83124.52,89392.0,14100.203125,7832.7265625
95104.9375,82891.91,87845.45,12213.03125,7259.484375
94686.2421875,82125.29,86367.06,12560.953125,8319.1796875
98676.09375,81831.98,85177.06,16844.1171875,13499.03125
99299.1953125,83739.6,85184.984,15559.59375,14114.2109375
95795.515625,85452.77,85925.516,10342.7421875,9870.0
94164.859375,83003.625,86163.99,11161.234375,8000.8671875
95163.9296875,81151.47,85744.07,14012.4609375,9419.859375
93530.2265625,81649.414,85274.12,11880.8125,8256.109375
92643.2109375,82134.79,84577.87,10508.421875,8065.34375
93429.203125,81227.23,83760.21,12201.9765625,9668.9921875
94419.7578125,80574.33,83226.43,13845.4296875,11193.328125
96886.875,82144.055,83159.414,14742.8203125,13727.4609375
98107.4296875,83339.56,83832.49,14767.8671875,14274.9375
98236.2265625,84222.88,84987.46,14013.34375,13248.765625
98314.9609375,84356.28,86146.34,13958.6796875,12168.6171875
102078.0859375,84696.945,87025.89,17381.140625,15052.1953125
96922.703125,85961.3,88320.414,10961.40625,8602.2890625
95043.5234375,84462.375,88478.73,10581.1484375,6564.796875
92484.0390625,82293.82,87640.63,10190.21875,4843.40625
94701.453125,80280.39,86029.04,14421.0625,8672.4140625
94566.59375,80905.055,84824.08,13661.5390625,9742.515625
94488.4375,81763.125,84097.05,12725.3125,10391.390625
94516.5234375,81754.7,83769.5,12761.8203125,10747.0234375
96534.046875,81801.76,83716.22,14732.2890625,12817.828125
100504.4921875,82856.55,84199.266,17647.9453125,16305.2265625
99756.90625,85111.39,85640.586,14645.515625,14116.3203125
104462.0390625,85573.12,87111.22,18888.921875,17350.8203125
104408.0703125,87325.625,89178.46,17082.4453125,15229.609375
101089.609375,88608.84,91053.65,12480.765625,10035.9609375
102016.6640625,86904.586,91697.31,15112.078125,10319.3515625
106146.265625,85669.24,91743.42,20477.0234375,14402.84375
103653.0703125,87305.74,92338.91,16347.328125,11314.1640625
103960.171875,88178.8,92586.92,15781.375,11373.25
104819.484375,87360.4,92676.195,17459.0859375,12143.2890625
104714.6484375,87409.0,92824.24,17305.6484375,11890.40625
102682.5,87939.29,92948.73,14743.2109375,9733.7734375
102087.6875,86723.16,92625.36,15364.53125,9462.328125
101332.4765625,85062.484,92025.94,16269.9921875,9306.5390625
103703.2109375,85221.16,91274.95,18482.0546875,12428.2578125
104735.3046875,87058.375,91096.516,17676.9296875,13638.7890625
102405.0234375,87866.555,91462.89,14538.46875,10942.1328125
100655.90625,86578.914,91554.74,14076.9921875,9101.1640625
97688.9765625,85517.36,91123.09,12171.6171875,6565.8828125
101405.421875,83821.664,89927.21,17583.7578125,11478.2109375
97871.8203125,84752.35,89358.64,13119.46875,8513.1796875
96615.4453125,84290.39,88555.88,12325.0546875,8059.5625
96593.296875,83380.336,87569.85,13212.9609375,9023.4453125
96529.0859375,82847.734,86707.69,13681.3515625,9821.3984375
96482.453125,82713.195,86094.96,13769.2578125,10387.4921875
96500.09375,83044.3,85740.94,13455.796875,10759.15625
97437.5546875,82508.36,85600.17,14929.1953125,11837.3828125
95747.4296875,83272.5,85780.6,12474.9296875,9966.828125
97885.859375,83275.46,85747.05,14610.3984375,12138.8125
96623.8671875,83559.375,86027.01,13064.4921875,10596.859375
97508.96875,83245.586,86156.83,14263.3828125,11352.140625
97580.3515625,83327.41,86353.9,14252.9453125,11226.453125
96175.03125,83657.555,86556.14,12517.4765625,9618.890625
95773.3828125,83060.56,86438.914,12712.8203125,9334.46875
95539.546875,82763.03,86104.88,12776.515625,9434.6640625
96635.609375,82388.74,85693.35,14246.8671875,10942.2578125
98333.9375,82623.875,85557.76,15710.0625,12776.1796875
96125.546875,83685.45,85934.85,12440.09375,10190.6953125
96577.7578125,83091.56,86052.79,13486.1953125,10524.96875
96273.921875,83248.24,86089.45,13025.6796875,10184.46875
91418.171875,82867.98,86012.63,8550.1953125,5405.5390625
88736.171875,80632.914,84940.195,8103.2578125,3795.9765625
84347.0234375,77836.086,83076.0,6510.9375,1271.0234375
84704.2265625,75188.31,80385.14,9515.9140625,4319.0859375
84373.0078125,74884.97,77965.69,9488.0390625,6407.3203125
86031.9140625,75076.58,76185.03,10955.3359375,9846.8828125
94248.3515625,75888.625,75457.25,18359.7265625,18791.1015625
86065.671875,80302.555,77026.93,5763.1171875,9038.7421875
87222.1953125,79303.35,77860.8,7918.84375,9361.3984375
90623.5625,76990.71,78272.7,13632.8515625,12350.859375
89961.7265625,78293.19,79040.88,11668.5390625,10920.84375
86742.671875,79392.445,79695.05,7350.2265625,7047.625
86154.59375,78346.92,79487.055,7807.671875,6667.5390625
80601.0390625,75943.25,78769.65,4657.7890625,1831.390625
78532.0,74070.305,76916.766,4461.6953125,1615.234375
82862.2109375,71938.95,74509.0,10923.2578125,8353.2109375
83722.359375,72014.77,73195.734,11707.5859375,10526.625
81066.703125,74075.77,72932.22,6990.9296875,8134.484375
83969.1015625,74551.99,72766.56,9417.109375,11202.5390625
84343.109375,74939.9,73229.55,9403.2109375,11113.5625
82579.6875,75143.93,73991.24,7435.7578125,8588.4453125
84075.6875,74748.3,74349.39,9327.390625,9726.296875
82718.5,74419.56,74711.125,8298.9375,8007.375
86854.2265625,74333.555,74724.305,12520.671875,12129.921875
84167.1953125,76810.45,75396.336,7356.7421875,8770.859375
84043.2421875,76903.18,75718.66,7140.0625,8324.5859375
83832.484375,75090.93,75753.83,8741.5546875,8078.65625
86054.375,74274.14,75590.76,11780.234375,10463.6171875
87498.9140625,75810.21,75818.78,11688.703125,11680.1328125
87471.703125,77636.38,76494.26,9835.3203125,10977.4453125
86900.8828125,77507.91,77233.414,9392.9765625,9667.46875
87177.1015625,77536.34,77705.5,9640.7578125,9471.6015625
84353.1484375,77049.86,77978.59,7303.2890625,6374.5546875
82597.5859375,75572.17,77513.76,7025.4140625,5083.828125
82334.5234375,73556.77,76427.664,8777.75,5906.859375
82548.9140625,73434.75,75265.09,9114.1640625,7283.8203125
85169.171875,73976.06,74365.63,11193.109375,10803.5390625
82485.7109375,75481.39,74325.42,7004.3203125,8160.2890625
83102.828125,74854.875,74213.27,8247.953125,8889.5546875
83843.8046875,74322.85,74202.87,9520.953125,9640.9375
83504.796875,74744.61,74381.68,8760.1875,9123.1171875
78214.484375,74704.48,74546.8,3510.0078125,3667.6875
79235.3359375,72348.05,73599.266,6887.2890625,5636.0703125
76271.953125,71377.17,72513.59,4894.78125,3758.359375
82573.953125,70358.64,71054.38,12215.3125,11519.5703125
79626.140625,72497.96,70955.53,7128.1796875,8670.609375
83404.8359375,72942.67,71039.35,10462.1640625,12365.484375
85287.109375,73723.14,71938.65,11563.96875,13348.4609375
83684.9765625,76364.81,73411.72,7320.1640625,10273.2578125
84542.390625,75938.83,74501.71,8603.5625,10040.6796875
83668.9921875,75697.38,75297.87,7971.609375,8371.125
84033.8671875,74443.57,75582.79,9590.296875,8451.078125
84895.75,75033.375,75620.695,9862.375,9275.0546875
84450.8046875,75753.36,75709.76,8697.4453125,8741.046875
85063.4140625,75479.21,75723.74,9584.203125,9339.671875
85174.3046875,75868.69,75820.516,9305.6171875,9353.7890625
87518.90625,75820.54,75958.84,11698.3671875,11560.0625
93441.890625,76558.61,76557.96,16883.28125,16883.9296875
93699.109375,80256.92,78457.125,13442.1875,15241.984375
93943.796875,82182.28,80631.14,11761.515625,13312.65625
94720.5,82320.84,82461.82,12399.65625,12258.6796875
94646.9296875,81998.28,83826.0,12648.6484375,10820.9296875
93754.84375,82015.18,84611.75,11739.6640625,9143.09375
94978.75,81785.28,84738.58,13193.46875,10240.171875
94284.7890625,81538.84,84768.73,12745.9453125,9516.0625
94207.3125,81660.06,84613.555,12547.25,9593.7578125
